"TP_PRESENCA_CN";"TP_PRESENCA_CH";"TP_PRESENCA_LC";"TP_PRESENCA_MT";"NU_NOTA_CN";"NU_NOTA_CH";"NU_NOTA_LC";"NU_NOTA_MT";"TP_STATUS_REDACAO";"NU_NOTA_REDACAO";"CO_MUNICIPIO_RESIDENCIA";"NO_MUNICIPIO_RESIDENCIA";"SG_UF_RESIDENCIA";"TP_DEPENDENCIA_ADM_ESC";"TP_LOCALIZACAO_ESC";"NU_IDADE";"TP_SEXO";"TP_ST_CONCLUSAO";"TP_ESCOLA";"TP_COR_RACA";"IN_BAIXA_VISAO";"IN_CEGUEIRA";"IN_SURDEZ";"IN_DEFICIENCIA_AUDITIVA";"IN_SURDO_CEGUEIRA";"IN_DEFICIENCIA_FISICA";"IN_DEFICIENCIA_MENTAL";"IN_DEFICIT_ATENCAO";"IN_DISLEXIA";"IN_AUTISMO";"Q001";"Q002";"Q006";"Q024";"Q010";"Q025";"Q027"
1;1;1;1;472,4;629,5;453;400,7;1;800;2804102;"Moita Bonita";"SE";"";"";26;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"A";"B";"B";"B";"A";"B";"A"
1;1;1;1;563,8;647,2;588,9;637,3;1;880;1302603;"Manaus";"AM";"";"";25;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"E";"C";"A";"B";"A";"A"
1;1;1;1;401,6;597,2;521,1;466,9;1;600;5204250;"Cachoeira Dourada";"GO";"";"";19;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"C";"D";"B";"B";"B";"A"
1;1;1;1;614,3;665,5;571;615;1;920;3131307;"Ipatinga";"MG";"";"";23;"F";1;1;3;0;0;0;0;0;0;0;1;0;0;"C";"C";"F";"B";"B";"B";"A"
1;1;1;1;460,4;464,9;406,4;431,3;1;300;2304400;"Fortaleza";"CE";"";"";31;"M";3;1;0;1;0;0;0;0;0;0;0;0;0;"B";"C";"C";"B";"A";"B";"A"
1;1;1;1;569,9;648,2;586,8;595,6;1;320;3118601;"Contagem";"MG";"";"";60;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"C";"G";"B";"B";"B";"A"
1;1;1;1;598,2;605,3;561,4;537,6;1;640;2408003;"Mossor<f3>";"RN";"";"";20;"F";1;1;3;1;0;0;0;0;0;0;0;0;0;"D";"E";"C";"A";"A";"B";"B"
1;1;1;1;454,3;520,4;515,6;441;1;340;2311405;"Quixeramobim";"CE";"2";"1";19;"F";2;2;3;1;0;0;0;0;0;0;0;0;0;"D";"E";"C";"A";"A";"A";"A"
1;1;1;1;433,7;618,1;565,6;550,8;1;580;2501005;"Araruna";"PB";"";"";37;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"A";"B";"B";"A";"A";"A";"A"
1;1;1;1;512;528,1;508,9;506,6;1;520;5208707;"Goi<e2>nia";"GO";"";"";19;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"C";"C";"C";"A";"A";"A";"A"
1;1;1;1;482,1;531,9;531,2;555;1;540;2501807;"Bayeux";"PB";"";"";27;"M";1;1;4;0;0;0;0;0;1;0;0;0;0;"G";"E";"B";"A";"B";"B";"A"
1;1;1;1;494,8;557,3;539;615,9;1;740;2407401;"Martins";"RN";"";"";43;"M";1;1;0;0;0;0;0;0;1;0;0;0;0;"A";"E";"I";"B";"A";"B";"A"
1;1;1;1;492,7;592,5;489,9;533,5;1;520;3518800;"Guarulhos";"SP";"2";"1";17;"M";2;2;2;0;0;0;0;0;1;0;0;0;0;"G";"G";"E";"C";"B";"B";"B"
1;1;1;1;483,5;635,6;546,7;683,7;1;520;3304557;"Rio de Janeiro";"RJ";"";"";38;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"F";"G";"F";"B";"B";"B";"B"
1;1;1;1;389;491,1;518,3;523,1;1;660;1302603;"Manaus";"AM";"";"";24;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"B";"B";"A";"B";"B"
1;1;1;1;546,7;651,2;565,5;470;1;660;1702109;"Aragua<ed>na";"TO";"";"";31;"F";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"B";"B";"A";"B";"A"
1;1;1;1;498,9;502,9;493,9;465,3;1;500;5103403;"Cuiab<e1>";"MT";"";"";22;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"A";"B";"A";"A";"A";"A";"A"
1;1;1;1;514,7;626,4;534,6;712,1;1;480;5002704;"Campo Grande";"MS";"";"";44;"M";1;1;2;1;0;0;0;0;0;0;0;0;0;"E";"F";"A";"B";"A";"A";"A"
1;1;1;1;438,7;522,8;432,8;416,9;1;340;3304904;"S<e3>o Gon<e7>alo";"RJ";"";"";43;"M";1;1;2;0;0;0;0;0;1;0;0;0;0;"C";"A";"B";"A";"A";"B";"A"
1;1;1;1;513,6;621,3;529,6;536,2;1;600;2704302;"Macei<f3>";"AL";"";"";28;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"B";"B";"C";"B";"A";"B";"A"
1;1;1;1;566,3;602,6;548,3;513,7;1;560;2933307;"Vit<f3>ria da Conquista";"BA";"";"";21;"F";1;1;1;1;0;0;0;0;0;0;0;0;0;"D";"E";"C";"B";"B";"B";"A"
1;1;1;1;590,2;670,7;650,7;777,3;1;780;1500107;"Abaetetuba";"PA";"";"";18;"M";1;1;1;0;0;0;0;0;1;0;0;0;0;"E";"F";"J";"B";"B";"B";"A"
1;1;1;1;420,7;536,8;579,2;650;1;500;3143302;"Montes Claros";"MG";"";"";34;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"B";"E";"D";"B";"B";"B";"A"
1;1;1;1;388,3;436,5;363,1;413,4;1;400;1302603;"Manaus";"AM";"";"";25;"M";1;1;1;0;0;0;0;0;0;1;0;0;0;"E";"E";"E";"C";"B";"B";"A"
1;1;1;1;501,8;583,8;507,6;456,8;1;420;4314902;"Porto Alegre";"RS";"";"";30;"F";1;1;0;0;0;0;0;0;1;0;0;0;0;"H";"H";"A";"B";"A";"B";"D"
1;1;1;1;515,1;585,8;447,7;377,4;1;660;3136702;"Juiz de Fora";"MG";"";"";33;"M";1;1;1;0;0;1;0;0;0;0;0;0;0;"F";"E";"H";"D";"B";"B";"B"
1;1;1;1;437,6;572,7;536,4;632,8;1;440;3304557;"Rio de Janeiro";"RJ";"";"";42;"M";1;1;3;1;0;0;0;0;0;0;0;0;0;"E";"D";"C";"B";"A";"B";"A"
1;1;1;1;422,2;448,8;422,8;465,6;1;440;4204202;"Chapec<f3>";"SC";"2";"1";18;"F";2;2;4;0;0;0;0;0;0;1;0;0;0;"C";"C";"C";"B";"B";"A";"A"
1;1;1;1;467,7;591,7;566;469,7;1;740;2900702;"Alagoinhas";"BA";"";"";18;"F";1;1;1;0;0;0;0;0;0;0;0;1;0;"F";"G";"H";"D";"B";"B";"D"
1;1;1;1;425,7;482,5;425,9;495,6;1;360;2403251;"Parnamirim";"RN";"";"";37;"M";1;1;3;0;0;0;0;0;1;0;0;0;0;"E";"G";"G";"A";"B";"B";"D"
1;1;1;1;412,1;498,1;436,7;390,9;1;320;2506806;"Ing<e1>";"PB";"4";"1";19;"F";2;4;1;0;0;0;0;0;1;0;0;0;0;"C";"E";"C";"A";"A";"A";"C"
